schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Fall 2023,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,E,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48409,History and Future of Interaction Design,9.0,A,MW,11:00AM,12:20PM,MM 107,"Pittsburgh, Pennsylvania",Pangaro
Fall 2023,48432,Environment II: Design Integration of Active Building Systems,9.0,A,TR,09:30AM,10:50AM,MM 103,"Pittsburgh, Pennsylvania",Baird
Fall 2023,48434,Aztec to Zacatecas: Mesoamerican & Spanish Colonial Arch of Mexico & Guatemala,9.0,A,TR,11:00AM,12:20PM,CFA 102,"Pittsburgh, Pennsylvania",Shaw
Fall 2023,48490,Undergraduate Internship,3.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48500,Advanced Synthesis Options Studio,"0,18",Lec,TR,01:00PM,03:20PM,MM 103,"Pittsburgh, Pennsylvania",Arscott
Fall 2023,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Arscott
Fall 2023,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Byrne
Fall 2023,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Chen
Fall 2023,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Ficca
Fall 2023,,,,E,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Yang
Fall 2023,,,,F,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,G,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,H,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48509,Architecture Design Studio: Thesis I/ Independent Project,18.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48525,Thesis Seminar,9.0,A,MW,11:00AM,12:20PM,MM 409,"Pittsburgh, Pennsylvania",Torello
Fall 2023,48531,Fabricating Customization: Prototype,9.0,A,MF,09:30AM,10:50AM,MM C4,"Pittsburgh, Pennsylvania",Ficca
Fall 2023,,Introduction to Architectural Robotics,,A,MW,02:00PM,03:50PM,MM C4,"Pittsburgh, Pennsylvania",Bard
Fall 2023,,Histories of Urban Design,,A,TR,03:30PM,04:50PM,CFA 102,"Pittsburgh, Pennsylvania",Shaw
Fall 2023,48568,"Advanced CAD, BIM, and 3D Visualization",VAR,A,TR,09:30AM,10:50AM,TBA,"Pittsburgh, Pennsylvania",Kurland
Fall 2023,48599,Independent Study,3-9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Arscott
Fall 2023,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Abraham
Fall 2023,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48607,Architectural Agency,VAR,A,W,09:30AM,10:50AM,OFF CAMPUS,"Pittsburgh, Pennsylvania",Issaias
Fall 2023,,,,B,W,10:30AM,11:50AM,OFF CAMPUS,"Pittsburgh, Pennsylvania",Issaias
Fall 2023,48610,Prototyping Stories: Experimental Children's Book and Vis Dev as An Architectura,9.0,A,M,11:00AM,12:20PM,CFA 211,"Pittsburgh, Pennsylvania",Yang
Fall 2023,48620,Graduate Seminar: Situating Research,3.0,A,F,09:30AM,10:50AM,CFA 214,"Pittsburgh, Pennsylvania",Rehman
Fall 2023,48622,"Explorations in Craft: Soft Forms, Stable Structures",9.0,A,WF,11:00AM,12:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Garofalo
Fall 2023,48625,Thesis Seminar,VAR,A,MW,11:00AM,12:20PM,MM 409,"Pittsburgh, Pennsylvania",Torello
