schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Spring 2024,48485,Design and Documentation in Revit,3.0,A,M,09:30AM,10:50AM,MM A11,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,48497,Pre-Thesis,3.0,A,W,10:00AM,10:50AM,CFA 211,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,B,W,09:00AM,09:50AM,CFA 211,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,48510,Advanced Synthesis Options Studio IV,18.0,Lec,TR,01:00PM,04:50PM,MM 103,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bista
Spring 2024,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bizon
Spring 2024,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,,,,E,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Garofalo
Spring 2024,,,,F,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Hayes
Spring 2024,,,,G,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48516,Carnival Gateway Special Project,VAR,A4,M,06:30PM,07:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Khan
Spring 2024,,Carnival Gateway Project Management,,A,M,06:30PM,07:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Khan
Spring 2024,,,,B,M,06:30PM,07:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Achnani
Spring 2024,48519,Architecture Design Studio: Thesis II/ Independent Project,VAR,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania","Arscott, Rafson"
Spring 2024,48524,Building Performance Modeling,9.0,A,TR,02:00PM,03:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Liang
Spring 2024,48545,Design Fabrication,9.0,A,MW,09:30AM,10:50AM,MM C4,"Pittsburgh, Pennsylvania",Patel
Spring 2024,48557,Formless as an Operation,9.0,A,F,09:00AM,11:50AM,MM 409,"Pittsburgh, Pennsylvania",Bizon
Spring 2024,48569,GIS/CAFM,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Kurland
Spring 2024,48599,Undergraduate Independent Study,3-9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Yang
Spring 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Ficca
Spring 2024,,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Arscott
Spring 2024,,,,D,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Kurland
Spring 2024,,,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Lee
Spring 2024,,Unsettling Ground- Retiring the God View,,A,M,10:00AM,12:50PM,MM 303,"Pittsburgh, Pennsylvania",Sindi
Spring 2024,,Material Regeneration,,B,W,09:00AM,11:50AM,MM 321,"Pittsburgh, Pennsylvania",Kwon
Spring 2024,,A Multiple-Making Approach to Inquiry in Craft + Computation,,C,F,09:00AM,12:20PM,MM C4,"Pittsburgh, Pennsylvania",Noel
Spring 2024,48616,Carnival Gateway Special Project,VAR,A4,M,06:30PM,07:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Khan
Spring 2024,48617,Carnival Gateway Project Management,VAR,A,M,06:30PM,07:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Khan
Spring 2024,,,,B,M,06:30PM,07:50PM,CFA 206A,"Pittsburgh, Pennsylvania",Achnani
Spring 2024,48618,Discourse and Praxis in the Climate Emergency,VAR,A3,M,11:00AM,12:20PM,MM 307,"Pittsburgh, Pennsylvania",Anklesaria
Spring 2024,48619,"Machine Intelligence, Cybernetics and Design",9.0,A,WF,02:00PM,03:20PM,MM 307,"Pittsburgh, Pennsylvania","Temizel, Pangaro"
Spring 2024,48638,Structural Design 2: Materials and Analysis,9.0,A,TR,02:00PM,03:20PM,WEH 4707,"Pittsburgh, Pennsylvania",Lee
Spring 2024,,Praxis 2:,,A,MWF,02:00PM,04:50PM,MM 320,"Pittsburgh, Pennsylvania","Davis, Huber, Sawyer"
Spring 2024,48641,History of Modern Architecture,VAR,A,MWF,10:00AM,10:50AM,MM A14,"Pittsburgh, Pennsylvania",Gutschow
Spring 2024,48642,History of Asian Architecture,9.0,A,MW,11:00AM,12:20PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Chen
Spring 2024,48644,M.Arch Pre-Thesis,3.0,A,F,09:00AM,09:50AM,MM 321,"Pittsburgh, Pennsylvania",Goral
Spring 2024,48647,Materiality and Construction Systems,9.0,A,TR,09:30AM,10:50AM,POS 146,"Pittsburgh, Pennsylvania",Ficca
Spring 2024,48648,Ethics and Decision Making in Architecture,6.0,A,T,04:00PM,05:50PM,WEH 5403,"Pittsburgh, Pennsylvania",Vavasis
Spring 2024,48649,Design Leadership,6.0,A,R,09:00AM,10:50AM,CFA 206A,"Pittsburgh, Pennsylvania",Krissel
Spring 2024,48658,Constructing Value(s): Economies of Design,VAR,A,T,06:00PM,07:50PM,CFA 214,"Pittsburgh, Pennsylvania",Darga Ozutemiz
Spring 2024,48660,Advanced Synthesis Options Studio II: M.Arch,18.0,Lec,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Anklesaria
Spring 2024,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bista
Spring 2024,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bizon
Spring 2024,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,,,,E,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Garofalo
Spring 2024,,,,F,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Hayes
Spring 2024,,,,G,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48667,Material Histories,9.0,A,MW,11:00AM,12:20PM,MM 409,"Pittsburgh, Pennsylvania",Torello
Spring 2024,48670,MArch Thesis,18.0,A,TR,01:00PM,04:50PM,MM 320,"Pittsburgh, Pennsylvania",Rafson
Spring 2024,48677,Hines Competition,3.0,A3,TBA,,,TBA,"Pittsburgh, Pennsylvania",Danes
Spring 2024,48685,Design and Documentation in Revit,VAR,A,M,09:30AM,10:50AM,MM A11,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,48692,Shaping Daylight Through Simulation and Virtual Reality,9.0,A,W,10:00AM,12:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,48700,Practicum,0-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,TBA,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,48703,Master's Project,18-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cardoso Llach
Spring 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Kim
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Krishnamurti
Spring 2024,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness
Spring 2024,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,48704,Internship (MS & PhD),0-18,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,I,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Loftness
Spring 2024,,,,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48706,Urban Design Studio II: Urban Systems,18.0,A,MWF,02:00PM,04:50PM,MM 320,"Pittsburgh, Pennsylvania","Rehman, Brooks Takahashi"
Spring 2024,,Commoning the City,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Kline
Spring 2024,48711,Paradigms of Research in Architecture,VAR,A,MW,08:30AM,09:50AM,MM 415IW,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48712,Graduate Seminar 2: Issue of Global Urbanization,3-9,A,W,07:00PM,08:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Nisa
Spring 2024,48713,MUD Urban Ecology,9.0,A,T,06:00PM,08:50PM,MM 415IW,"Pittsburgh, Pennsylvania",Mondor
Spring 2024,48715,MSCD Pre-Thesis 1,6.0,A,W,10:00AM,11:50AM,MM 307,"Pittsburgh, Pennsylvania","Byrne, Erdolu"
Spring 2024,48721,Building Controls and Diagnostics,12.0,A,TR,11:00AM,12:20PM,GHC 4101,"Pittsburgh, Pennsylvania",Zhao
Spring 2024,48722,Building Performance Modeling,VAR,A,TR,02:00PM,03:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Liang
Spring 2024,48731,Sustainable Design Synthesis Prep,1-18,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,48732,Sustainable Design Synthesis,"0,12,24",A,F,10:00AM,12:20PM,MM 415IW,"Pittsburgh, Pennsylvania","Cupkova, Suarez"
Spring 2024,48735,Modern Mexico & Guatemala: 19th-21st Century Architecture (MOD MEX),9.0,A,TR,03:30PM,04:50PM,CFA 102,"Pittsburgh, Pennsylvania",Shaw
Spring 2024,48736,Master's Independent Study,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,,TBA,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Baird
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Kim
Spring 2024,,TBA,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gruber
Spring 2024,,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cardoso Llach
