schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Summer One 2024,19797,Reading and Research: Project Research,"5,18,36",PP,TBA,,,TBA,"Lisbon, Portugal","Matthews, Muller"
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania","Muller, Matthews"
Summer One 2024,19798,Reading and Research: Thesis Research,"5,18,36",PP,TBA,,,TBA,"Lisbon, Portugal","Muller, Matthews"
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania","Matthews, Muller"
Summer One 2024,,Politics & Ideology in the Marvel Cinematic Universe,,S,MTWRF,12:30PM,01:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Wigginton
Summer One 2024,,AI & Art: Can Machines Tell Our Stories?,,T,MTWRF,12:30PM,01:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Szalkowski-Ference
Summer One 2024,,"Science Fiction, Fantasy, & Horror",,S,MTWRF,03:30PM,04:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Turnshek
Summer One 2024,76239,Introduction to Film Studies,9.0,S,MTWRF,11:00AM,12:20PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Shumway
Summer One 2024,76241,Introduction to Gender Studies,9.0,S,MTWRF,09:30AM,10:50AM,CMU REMOTE,"Pittsburgh, Pennsylvania",Aguiar
Summer One 2024,,"Communicating Inclusively, Equitably, and Persuasively in the Workplace",,S,MTWRF,03:30PM,04:50PM,CMU REMOTE,"Pittsburgh, Pennsylvania",Rosselot-Merritt
Summer One 2024,,,,T,MTWRF,08:00AM,09:20AM,CMU REMOTE,"Pittsburgh, Pennsylvania",Gordon
Summer One 2024,76456,Independent Study in Film & Media Studies,VAR,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,T,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hinkelman
Summer One 2024,76707,Independent Study in Professional Writing,3-18,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Ritivoi
Summer One 2024,76824,Theory and Design of Writing Instruction,12.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Wetzel
Summer One 2024,76900,Independent Study in Rhetoric,3-18,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Wolfe
Summer One 2024,76990,Graduate Reading and Research,36.0,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,53689,Entertainment Technology Center Independent Study,3-30,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,53999,ETC Reading and Research,3-36,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,94900,Internship,0.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Delfine
Summer One 2024,79491,Independent Study,3-18,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,79893,History Dissertation,5-36,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Phillips
Summer One 2024,79896,Graduate Reading and Research,36.0,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,05672,MHCI Project II,48.0,A,TR,02:00PM,03:20PM,3SC 172,"Pittsburgh, Pennsylvania","Beck, Guidi, Hammer, Levin-Decanini, Saunders, Shelly, Tsai, Vinchesi, Wahila"
Summer One 2024,05680,Independent Study in HCI - METALS,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Bodnar, Bett"
Summer One 2024,,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Bett, Bodnar"
Summer One 2024,05682,METALS Project 2,48.0,A,W,03:30PM,05:20PM,TEP 1403,"Pittsburgh, Pennsylvania","McLaren, Koedinger"
Summer One 2024,05683,METALS Capstone II Part I,24.0,S,W,03:30PM,05:20PM,CMU REMOTE,"Pittsburgh, Pennsylvania","McLaren, Koedinger"
Summer One 2024,05689,Independent Study in HCI - Grad,0-48,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Willis
Summer One 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Willis
Summer One 2024,,Practicum in HCI,,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Bigham, Kravitz"
Summer One 2024,,Practicum in HCI,,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Bigham, Kravitz"
Summer One 2024,05997,Reading and Research in HCI,24-48,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Kravitz, Bigham"
Summer One 2024,,Silicon Valley Residency,,A,TBA,,,DNM DNM,"San Jose, California",Instructor TBA
Summer One 2024,14700,INI Project/Thesis Research,0-36,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tsamitis
Summer One 2024,14706,Information Networking Project,0-42,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tsamitis
Summer One 2024,14707,Information Networking Thesis,6-42,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tsamitis
Summer One 2024,14708,INI Independent Study,0-12,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tsamitis
Summer One 2024,,,,B,TBA,,,DNM DNM,"San Jose, California",Tsamitis
Summer One 2024,14709,INI Project-Japan,0-42,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Tsamitis
Summer One 2024,67357,Healthcare Analytics and Big Data,9.0,W,UMTWR,11:00AM,12:30PM,CMB 2062,"Doha, Qatar",Liginlal
Summer One 2024,67390,Independent Study in Information Systems,1-12,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Heimann
Summer One 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sooriamurthi
Summer One 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Quesenberry
Summer One 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hagan
Summer One 2024,67393,Guided Research in Information Systems,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Heimann
Summer One 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sooriamurthi
Summer One 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Quesenberry
Summer One 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hagan
Summer One 2024,,,,L,TBA,,,TBA,"Pittsburgh, Pennsylvania",Tu
Summer One 2024,,,,M,TBA,,,TBA,"Pittsburgh, Pennsylvania",Huang
Summer One 2024,,,,N,TBA,,,TBA,"Pittsburgh, Pennsylvania",Poepping
Summer One 2024,,,,O,TBA,,,TBA,"Pittsburgh, Pennsylvania",Liginlal
Summer One 2024,67505,Information Systems Internship,1-3,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Avery
Summer One 2024,,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Dandoy
Summer One 2024,,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Di Lisio
Summer One 2024,,,,D,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Lutz
Summer One 2024,,,,W,TBA,,,DNM DNM,"Doha, Qatar",Instructor TBA
Summer One 2024,95565,Introduction to Information Security,9.0,A,TR,02:00PM,03:20PM,HBH 1004,"Pittsburgh, Pennsylvania",Trzeciak
Summer One 2024,95568,Data Management and Security,9.0,A,TR,03:30PM,04:50PM,HBH 1004,"Pittsburgh, Pennsylvania",Sooriamurthi
Summer One 2024,95705,Telecommunications Management,12.0,Z,TBA,,,TBA,"Pittsburgh, Pennsylvania",Yucel
Summer One 2024,95720,Information Systems Project,0-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,Z,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95752,Introduction to Information Security Management,12.0,Z,TBA,,,TBA,"Pittsburgh, Pennsylvania",Trzeciak
Summer One 2024,95900,Internship,0-6,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Beggs
Summer One 2024,95901,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95902,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95903,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95904,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95905,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95906,Independent Study,6.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95907,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95908,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95909,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95910,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95911,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95912,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95913,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95914,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,95915,Independent Study,1-24,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,84499,Independent Study,3-12,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,84505,Undergraduate Internship,"3,6,9",R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Half
Summer One 2024,84705,CMIST Graduate Internship,VAR,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Gardner
Summer One 2024,84781,MITS Capstone Project,36.0,A,M,10:00AM,10:50AM,PH A19,"Pittsburgh, Pennsylvania",Gardner
Summer One 2024,84798,Independent Study,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,84799,Graduate Thesis,18.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,49601,Innovation of Services & Experiences,10.0,A,R,08:00PM,09:30PM,TBA,"Pittsburgh, Pennsylvania",Zlotnikov
